id_municipio,uf,municipio,easting,northing
3181,PR,Alvorada do Sul,-140343.329,7467175.808
3182,PR,Amaporã,-299141.16,7424654.608
3183,PR,Ampére,-350041.538,7105941.116
3184,PR,Anahy,-324883.695,7249850.631
3185,PR,Andirá,-36324.561,7440979.44
3187,PR,Antonina,125881.701,7181265.128
3188,PR,Antônio Olinto,-20651.19,7116125.878
3189,PR,Apucarana,-160634.145,7380666.287
3190,PR,Arapongas,-157455.437,7395812.929
3191,PR,Arapoti,9093.016,7320157.101
3192,PR,Arapuã,-189566.269,7294234.082
3193,PR,Araruna,-264925.881,7332964.498
3194,PR,Araucária,57374.045,7162812.133
3195,PR,Ariranha do Ivaí,-168624.188,7287160.789
3196,PR,Assaí,-98171.435,7403422.777
3197,PR,Assis Chateaubriand,-366013.209,7272870.164
3198,PR,Astorga,-183117.947,7415091.672
3199,PR,Atalaia,-223477.74,7422111.36
3200,PR,Balsa Nova,34779.56,7162659.965
3201,PR,Bandeirantes,-50491.055,7434402.62
3202,PR,Barbosa Ferraz,-213391.72,7324259.351
3204,PR,Barra do Jacaré,-31330.496,7434179.824
3203,PR,Barracão,-364071.709,7067669.942
3205,PR,Bela Vista da Caroba,-370842.973,7108224.076
3206,PR,Bela Vista do Paraíso,-135528.09,7443731.064
3207,PR,Bituruna,-155672.031,7089938.413
3208,PR,Boa Esperança,-292190.192,7296254.522
3209,PR,Boa Esperança do Iguaçu,-326039.37,7139298.982
3210,PR,Boa Ventura de São Roque,-170471.407,7233223.417
3211,PR,Boa Vista da Aparecida,-347771.939,7160501.979
3212,PR,Bocaiúva do Sul,85312.476,7205828.426
3213,PR,Bom Jesus do Sul,-360767.36,7073987.96
3214,PR,Bom Sucesso,-190931.642,7361831.775
3215,PR,Bom Sucesso do Sul,-285162.875,7092525.542
3216,PR,Borrazópolis,-171348.841,7337086.642
3217,PR,Braganey,-322569.712,7230697.012
3218,PR,Brasilândia do Sul,-368154.617,7297264.653
3219,PR,Cafeara,-190258.664,7464117.297
3220,PR,Cafelândia,-344160.739,7251598.094
